City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,los llanos de aridane,0,ES,1536087600,69,28.66,-17.92,75.2,11.41
1,saint-francois,0,FR,1536085800,46,46.42,3.91,71.6,3.36
2,avarua,40,CK,1536084000,69,-21.21,-159.78,73.4,10.29
3,georgetown,40,GY,1536087600,78,6.8,-58.16,80.6,4.7
4,geraldton,90,CA,1536084000,42,49.72,-86.95,68.0,11.41
5,port alfred,0,ZA,1536088607,72,-33.59,26.89,70.39,15.03
6,eureka,1,US,1536087300,80,40.8,-124.16,64.4,5.82
7,punta arenas,20,CL,1536087600,60,-53.16,-70.91,39.2,29.97
8,rio gallegos,40,AR,1536087600,30,-51.62,-69.22,42.8,31.09
9,atuona,48,PF,1536088608,100,-9.8,-139.03,79.48,15.82
10,tongling,8,CN,1536089118,87,30.93,117.81,69.4,2.62
11,warman,40,CA,1536084000,55,52.32,-106.58,51.8,14.99
12,rikitea,0,PF,1536088596,100,-23.12,-134.97,70.93,27.34
13,helena,1,US,1536083580,40,46.59,-112.04,60.98,3.36
14,hobart,75,AU,1536087600,87,-42.88,147.33,42.8,8.05
15,tiksi,32,RU,1536088604,82,71.64,128.87,38.17,21.07
16,ushuaia,75,AR,1536087600,84,-54.81,-68.31,35.6,26.4
17,okhotsk,92,RU,1536089119,100,59.36,143.24,56.08,6.2
18,umm lajj,92,SA,1536088655,84,25.02,37.27,88.03,6.98
19,clyde river,20,CA,1536084000,81,70.47,-68.59,46.4,9.17
20,half moon bay,90,US,1536087600,87,37.46,-122.43,77.0,8.05
21,mataura,0,NZ,1536088597,77,-46.19,168.86,25.66,2.84
22,hobyo,0,SO,1536088701,85,5.35,48.53,75.52,14.47
23,busselton,56,AU,1536088485,100,-33.64,115.35,54.91,27.89
24,hithadhoo,32,MV,1536088605,100,-0.6,73.08,82.81,1.83
25,taloqan,76,AF,1536089120,72,36.74,69.54,48.7,2.17
26,bredasdorp,88,ZA,1536084000,55,-34.53,20.04,60.8,4.7
27,balakhninskiy,36,RU,1536089120,79,58.01,114.28,35.2,2.28
28,mayor pablo lagerenza,0,PY,1536089120,50,-19.93,-60.77,78.94,8.55
29,vanavara,24,RU,1536089121,88,60.35,102.28,41.77,2.51
30,altay,0,CN,1536089121,69,47.83,88.13,25.03,2.73
31,pevek,76,RU,1536088623,100,69.7,170.27,37.0,2.95
32,filingue,32,NE,1536089121,67,14.35,3.32,85.78,8.1
33,khatanga,88,RU,1536088621,94,71.98,102.47,45.28,22.19
34,lata,68,IN,1536088699,100,30.78,78.62,59.23,1.72
35,seryshevo,32,RU,1536089121,96,51.09,128.38,57.34,10.11
